Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
CMA Acciones - Clase C,ARS,2026-04-08,1.0,96044.785,-0.332,0.415,47.437
CMA Acciones - Clase I,ARS,2026-04-08,1.0,34231.379,-0.295,0.937,50.346
CMA Acciones - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1692.321,-0.376,-0.2,44.07
Cocos Acciones - Clase A,ARS,2026-04-08,1.0,1458.753,-0.094,2.361,
Cocos Acciones - Clase B,ARS,2026-04-08,1.0,1480.64,-0.094,2.361,
Cocos Acciones - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,
Cocos Acciones - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,0.0,0.0,
Compass Crecimiento - Clase A,ARS,2026-04-08,1.0,10135908.115,-1.223,-2.786,41.259
Compass Crecimiento - Clase B,ARS,2026-04-08,1.0,13474015.379,-1.204,-2.411,43.355
Compass Crecimiento - Clase C,ARS,2026-04-08,1.0,15628739.46,-1.193,-2.185,44.626
Compass Crecimiento - Clase H Ley 27.743,ARS,2026-04-08,1.0,1561.255,-1.223,-2.786,41.259
Compass Crecimiento - Clase I Ley 27.743,ARS,2026-04-08,1.0,1672.155,-1.173,-1.801,44.251
Compass Crecimiento II - Clase A,ARS,2026-04-08,1.0,645326.753,0.603,11.263,53.282
Compass Crecimiento II - Clase B,ARS,2026-04-08,1.0,811862.612,0.603,11.263,53.47
Compass Crecimiento II - Clase C,ARS,2026-04-08,1.0,1079683.77,0.623,11.726,56.221
Compass Crecimiento II - Clase H Ley 27.743,ARS,2026-04-08,1.0,1594.991,0.623,11.726,54.489
Consultatio Acciones Argentina - Clase A,ARS,2026-04-08,1.0,15280615.833,-1.25,-3.277,43.603
Consultatio Acciones Argentina - Clase B,ARS,2026-04-08,1.0,17223594.667,-1.226,-2.952,45.409
Consultatio Acciones Argentina - Clase C,ARS,2026-04-08,1.0,17794533.828,-1.219,-2.847,45.992
Consultatio Acciones Argentina - Clase Z Ley N° 27.743,ARS,2026-04-08,1.0,1716.55,-1.186,-2.45,46.161
Crecer Acciones - Clase A,ARS,2026-04-08,1.0,1350.116,-1.066,-3.559,
Crecer Acciones - Clase B,ARS,2026-04-08,1.0,1367.537,-1.039,-3.195,
Delta Acciones - Clase A,ARS,2026-04-08,1.0,1618426.186,-1.213,-4.463,39.242
Delta Acciones - Clase B,ARS,2026-04-08,1.0,2286687.726,-1.187,-4.103,41.205
Delta Acciones - Clase E,ARS,2026-04-08,1.0,55103.635,0.0,0.0,0.0
Delta Acciones - Clase K Ley Nº 27.743,ARS,2026-04-08,1.0,1631.174,-1.213,-4.463,39.242
Delta Acciones - Clase L Ley Nº 27.743,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Delta Recursos Naturales - Clase A,ARS,2026-04-08,1.0,1407991.453,-0.914,5.411,59.903
Delta Recursos Naturales - Clase B,ARS,2026-04-08,1.0,1947861.258,-0.888,5.808,62.158
Delta Recursos Naturales - Clase E,ARS,2026-04-08,1.0,2072467.978,-0.872,6.035,63.461
Delta Select - Clase A,ARS,2026-04-08,1.0,655773.203,-1.14,-4.054,40.595
Delta Select - Clase B,ARS,2026-04-08,1.0,97297.483,-1.098,-3.485,43.723
Dracma Multiestrategia II - Clase A,ARS,2026-04-08,1.0,1492.6,-0.08,-2.515,
Dracma Multiestrategia II - Clase B,ARS,2026-04-08,1.0,1532.5,-0.085,-2.463,
Dracma Multiestrategia II - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,
Dracma Multiestrategia II - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,
FBA Acciones Argentinas - Clase A,ARS,2026-04-08,1.0,590376.569,-1.287,-2.813,39.717
FBA Acciones Argentinas - Clase B,ARS,2026-04-08,1.0,691774.886,-1.258,-2.413,41.874
FBA Acciones Argentinas - Clase J Ley N° 27.743,ARS,2026-04-08,1.0,590548.548,-1.287,-2.813,39.717
FBA Acciones Argentinas - Clase K Ley N° 27.743,ARS,2026-04-08,1.0,426094.454,,,
Fima Acciones - Clase A,ARS,2026-04-08,1.0,253243.775,-1.181,-5.617,32.828
