Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
1822 Raices Inversion,ARS,2026-04-08,1.0,92594.122,0.71,14.471,45.984
1822 Raices Renta en Pesos,ARS,2026-04-08,1.0,13500464.913,0.55,10.391,41.955
Adcap ASB Multiactivo - Clase A,ARS,2026-04-08,1.0,1277.973,-2.057,-4.119,37.203
Adcap ASB Multiactivo - Clase B,ARS,2026-04-08,1.0,1285.426,-2.047,-3.99,37.892
Adcap ASB Multiactivo - Clase C,ARS,2026-04-08,1.0,1322.431,-1.998,-3.306,41.585
Adcap ASB Multiactivo - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1160.831,,,
Adcap Balance Multiactivo  - Clase A,ARS,2026-04-08,1.0,1637.477,0.485,11.137,37.736
Adcap Balance Multiactivo - Clase B,ARS,2026-04-08,1.0,1652.03,0.494,11.281,38.423
Adcap Balance Multiactivo - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1466.529,,,
Adcap Balanceado IX - Clase A,ARS,2026-04-08,1.0,2038.699,0.124,-0.57,19.811
Adcap Balanceado IX - Clase B,ARS,2026-04-08,1.0,2004.71,0.098,-0.86,18.048
Adcap Balanceado IX - Clase C,ARS,2026-04-08,1.0,1733.424,,,
Adcap Balanceado IX - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1587.384,,,
Adcap Balanceado VII - Clase A,ARS,2026-04-08,1.0,1013.835,,,
Adcap Balanceado VII - Clase B,ARS,2026-04-08,1.0,2083.887,0.599,10.017,47.609
Adcap Balanceado VII - Clase C,ARS,2026-04-08,1.0,1006.332,,,
Adcap Balanceado X - Clase A,ARS,2026-04-08,1.0,7240.853,0.461,8.205,38.968
Adcap Balanceado X - Clase B,ARS,2026-04-08,1.0,7253.438,0.461,8.204,38.968
Adcap Balanceado X - Clase C,ARS,2026-04-08,1.0,6144.827,,,
Adcap Balanceado X - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1184.276,,,
Adcap Balanceado XIII - Clase A,ARS,2026-04-08,1.0,1200.037,,,
Adcap Balanceado XIII - Clase B,ARS,2026-04-08,1.0,1579.332,0.548,8.725,34.541
Adcap Balanceado XIII - Clase C,ARS,2026-04-08,1.0,1200.037,,,
Adcap Balanceado XVI - Clase A,ARS,2026-04-08,2.0,5505.923,0.405,8.779,39.241
Adcap Balanceado XVI - Clase B,ARS,2026-04-08,2.0,5568.975,0.422,9.042,40.502
Adcap Balanceado XVI - Clase C,ARS,2026-04-08,2.0,5809.993,0.429,9.424,43.222
Adcap Balanceado XVI - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1555.56,,,
Adcap Balanceado XVII - Clase A,ARS,2026-04-08,2.0,1629.855,-0.104,-1.086,25.999
Adcap Balanceado XVII - Clase B,ARS,2026-04-08,2.0,1500,0.0,0.0,15.961
Adcap Balanceado XVII - Clase C,ARS,2026-04-08,2.0,1346.278,,,
Adcap Balanceado XVII - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1096.591,,,
Adcap Balanceado XX - Clase B,ARS,2026-04-08,1.0,1499.054,1.04,-1.841,28.948
Adcap Balanceado XX - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1201.035,,,
Adcap Cima Ahorro - Clase A,ARS,2026-04-08,2.0,35816.778,-0.421,8.826,63.894
Adcap Gestión Estratégica II - Clase B,ARS,2026-04-08,1.0,1195.48,0.986,-2.798,
Adcap Patrimonio IV - Clase A,ARS,2026-04-08,2.0,19122.506,0.492,10.134,94.062
Adcap Patrimonio IV - Clase B,ARS,2026-04-08,2.0,19274.42,0.492,10.135,94.9
Adcap Patrimonio IV - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1214.685,,,
Allaria Agro - Clase A,ARS,2026-04-08,1.0,1496.894,0.793,-3.617,26.941
Allaria Agro - Clase B,ARS,2026-04-08,1.0,1488.036,0.798,-3.553,27.259
Allaria Agro - Clase C,ARS,2026-04-08,1.0,1063.756,0.0,0.0,0.0
Allaria Capital - Clase A,ARS,2026-04-08,1.0,8887.35,0.533,11.182,45.577
Allaria Capital - Clase B,ARS,2026-04-08,1.0,1001.52,0.0,0.0,0.0
Allaria Capital - Clase C,ARS,2026-04-08,1.0,19086.645,0.484,10.437,41.949
Allaria Capital - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Dinámico - Clase A,ARS,2026-04-08,1.0,18340.505,0.809,3.314,38.58
Allaria Dinámico - Clase B,ARS,2026-04-08,1.0,18148.97,0.809,3.314,38.58
Allaria Dinámico - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Dinámico - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Dinámico - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
Allaria Estructurado - Clase A,ARS,2026-04-08,1.0,92854.163,0.701,12.384,48.139
Allaria Estructurado - Clase B,ARS,2026-04-08,1.0,16355.417,0.701,12.384,48.139
Allaria Estructurado - Clase C,ARS,2026-04-08,1.0,35309.712,0.701,12.384,48.139
Allaria Estructurado - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Estructurado - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
Allaria Patrimonio II - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Patrimonio II - Clase B,ARS,2026-04-08,1.0,1067.751,0.0,0.0,0.0
Allaria Patrimonio II - Clase C,ARS,2026-04-08,1.0,14727.229,0.718,-2.447,37.072
Allaria Patrimonio II - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Patrimonio V - Clase A,ARS,2026-04-08,1.0,15253.12,0.678,14.394,49.667
Allaria Patrimonio V - Clase B,ARS,2026-04-08,1.0,16524.879,0.678,14.394,49.667
Allaria Patrimonio V - Clase C,ARS,2026-04-08,1.0,14344.751,0.678,14.395,49.667
Allaria Patrimonio V - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
Allaria Principal - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Principal - Clase B,ARS,2026-04-08,1.0,15906.64,0.222,6.663,40.83
Allaria Principal - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Principal - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Unicred Cobertura - Clase A,ARS,2026-04-08,1.0,6098.521,0.87,-3.765,21.434
Allaria Unicred Cobertura - Clase B,ARS,2026-04-08,1.0,549.361,0.871,-3.765,21.434
Allaria Unicred Cobertura - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Unicred Cobertura - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Unicred Cobertura - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
Allaria Unicred Empresas - Clase A,ARS,2026-04-08,1.0,1536.415,0.64,10.829,53.02
Allaria Unicred Empresas - Clase B,ARS,2026-04-08,1.0,10345.415,0.64,10.829,53.023
Allaria Unicred Empresas - Clase C,ARS,2026-04-08,1.0,4340.304,0.0,0.0,0.0
Allaria Unicred Empresas - Clase D,ARS,2026-04-08,1.0,262.091,0.0,0.0,0.0
Allaria Unicred Empresas - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
Alpha Renta Capital - Clase A,ARS,2026-04-08,1.0,62919008.891,1.028,8.945,47.026
Alpha Renta Capital - Clase B,ARS,2026-04-08,1.0,50926467.874,1.009,8.624,44.992
Alpha Renta Capital - Clase C,ARS,2026-04-08,1.0,527.841,-0.632,3.457,-4.484
Alpha Renta Capital - Clase D,ARS,2026-04-08,1.0,32035.946,0.364,12.297,38.39
Alpha Renta Capital - Clase I,ARS,2026-04-08,1.0,524.731,-0.632,3.458,-4.484
Alpha Renta Capital Pesos - Clase A,ARS,2026-04-08,1.0,16396813.293,0.797,14.653,58.666
Alpha Renta Capital Pesos - Clase B,ARS,2026-04-08,1.0,12760413.345,0.783,14.357,56.472
Alpha Renta Capital Pesos - Clase J,ARS,2026-04-08,1.0,3091.179,0.0,0.0,0.0
Alpha Renta Capital Pesos - Clase K,ARS,2026-04-08,1.0,11608.824,0.783,14.355,56.469
Alpha Renta Capital Pesos - Clase Q Ley N° 27.743,ARS,2026-04-08,1.0,1824.314,0.771,14.218,56.281
Alpha Renta Plus - Clase A,ARS,2026-04-08,1.0,297505.534,0.439,9.604,46.078
Alpha Renta Plus - Clase B,ARS,2026-04-08,1.0,186500.443,0.424,9.351,44.51
Alpha Renta Plus - Clase I,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Alycbur Renta Cobertura  - Clase A,ARS,2026-04-08,2.0,5957.245,0.616,-2.869,14.624
Alycbur Renta Cobertura  - Clase B,ARS,2026-04-08,2.0,5989.228,0.618,-2.839,14.759
Alycbur Renta Cobertura - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1383.29,,,
Argenfunds Renta Argentina - Clase A,ARS,2026-04-08,1.0,4293.198,0.0,0.0,0.0
Argenfunds Renta Argentina - Clase B,ARS,2026-04-08,1.0,166730.967,0.872,11.564,36.172
Argenfunds Renta Balanceada - Clase A,ARS,2026-04-08,1.0,51477.364,0.751,14.718,38.064
Argenfunds Renta Balanceada - Clase B,ARS,2026-04-08,1.0,102497.555,0.751,14.718,38.064
Argenfunds Renta Crecimiento - Clase E,USD,2026-04-08,1.0,173255.398,,,
Argenfunds Renta Crecimiento - Clase F,USD,2026-04-08,1.0,172460.501,,,
Argenfunds Renta Dinamica - Clase A,ARS,2026-04-08,1.0,2482.49,0.0,0.0,0.0
Argenfunds Renta Dinamica - Clase B,ARS,2026-04-08,1.0,464.53,0.843,10.448,32.546
Argenfunds Renta Global - Clase A,ARS,2026-04-08,1.0,4185.841,0.488,-9.817,-18.184
Argenfunds Renta Global - Clase B,ARS,2026-04-08,1.0,19490.672,0.488,-9.817,-18.228
Argenfunds Renta Mixta - Clase A,ARS,2026-04-08,0.0,2675.339,0.523,10.211,39.89
Argenfunds Renta Mixta - Clase B,ARS,2026-04-08,0.0,29183.883,0.523,10.211,39.89
Argenfunds Renta Pesos - Clase A,ARS,2026-04-08,1.0,3042.84,0.0,0.0,0.0
Argenfunds Renta Pesos - Clase B,ARS,2026-04-08,1.0,696776.093,-0.085,40.031,502.56
Argenfunds Renta Total - Clase A,ARS,2026-04-08,1.0,1396.3,0.0,0.0,0.0
Argenfunds Renta Total - Clase B,ARS,2026-04-08,1.0,8429.334,0.511,5.058,27.135
Balanz Institucional - Clase A,ARS,2026-04-08,1.0,109859.865,0.839,16.062,54.252
Balanz Institucional - Clase B,ARS,2026-04-08,1.0,41098.418,0.847,16.186,54.872
Balanz Institucional - Clase C,ARS,2026-04-08,1.0,116342.917,0.854,16.309,55.493
Balanz Institucional - Clase D,ARS,2026-04-08,1.0,32951.885,0.855,16.325,55.571
Balanz Institucional - Clase E,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Institucional - Clase F,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Institucional - Clase G,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Institucional - Clase L Ley Nº 27.743,ARS,2026-04-08,1.0,1501.012,0.0,2.468,36.186
Balanz Lecaps - Clase A,ARS,2026-04-08,0.0,1931.813,0.44,9.632,39.173
Balanz Lecaps - Clase B,ARS,2026-04-08,0.0,1940.985,0.449,9.763,39.802
Balanz Lecaps - Clase C,ARS,2026-04-08,0.0,1948.304,0.455,9.865,40.292
Balanz Lecaps - Clase D,ARS,2026-04-08,0.0,13197.503,0.456,9.88,40.363
Balanz Lecaps - Clase E,ARS,2026-04-08,0.0,1000,0.0,0.0,0.0
Balanz Lecaps - Clase F,ARS,2026-04-08,0.0,1000,0.0,0.0,0.0
Balanz Lecaps - Clase L Ley Nº 27.743,ARS,2026-04-08,0.0,1709.36,0.44,9.631,39.172
Balanz Long Pesos - Clase A,ARS,2026-04-08,1.0,2015.568,1.08,12.882,40.653
Balanz Long Pesos - Clase B,ARS,2026-04-08,1.0,1418.435,1.083,12.927,41.844
Balanz Long Pesos - Clase C,ARS,2026-04-08,1.0,1411.839,1.087,13.002,41.184
Balanz Long Pesos - Clase D,ARS,2026-04-08,1.0,9513.955,1.099,13.182,48.106
Balanz Long Pesos - Clase E,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Long Pesos - Clase F,ARS,2026-04-08,1.0,1208.006,0.0,0.0,0.0
Balanz Long Pesos - Clase L Ley N° 27.743,ARS,2026-04-08,1.0,1199.301,0.0,0.966,
Balanz Performance I - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Performance I - Clase B,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Performance I - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Performance I - Clase D,ARS,2026-04-08,1.0,13289.011,0.94,12.007,44.023
Balanz Performance I - Clase E,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Performance I - Clase F,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Performance III - Clase A,ARS,2026-04-08,1.0,9124.84,0.957,8.831,40.862
Balanz Performance III - Clase B,ARS,2026-04-08,1.0,9148.195,0.959,8.86,41.003
Balanz Performance III - Clase C,ARS,2026-04-08,1.0,8870.646,0.961,8.889,41.145
Balanz Performance III - Clase D,ARS,2026-04-08,1.0,9233.246,0.962,8.903,41.216
Balanz Performance III - Clase L Ley Nº 27.743,ARS,2026-04-08,1.0,1418.647,0.0,1.229,31.021
Bull Market Ahorro Balanceado II - Clase A,ARS,2026-04-08,1.0,1046.492,0.183,,
Bull Market Ahorro Balanceado II - Clase B,ARS,2026-04-08,1.0,1017.222,0.183,,
Bull Market Ahorro Pesos - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Bull Market Ahorro Pesos - Clase B,ARS,2026-04-08,1.0,1277.66,0.292,7.419,27.766
Bull Market Estrategia - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,
Bull Market Estrategia - Clase B,ARS,2026-04-08,1.0,1084.837,0.369,8.685,
Champaquí Estratégico - Clase A,ARS,2026-04-08,1.0,11874.387,0.857,1.611,41.487
Champaquí Estratégico - Clase B,ARS,2026-04-08,1.0,12120.847,0.868,1.773,42.326
Champaquí Renta Futura - Clase B,ARS,2026-04-08,1.0,4167.422,0.571,12.821,42.13
Champaquí Renta Futura - Clase D,ARS,2026-04-08,1.0,4195.012,0.584,12.928,42.529
CMA Performance - Clase A,ARS,2026-04-08,1.0,34466.063,0.837,-1.035,20.518
CMA Performance - Clase B,ARS,2026-04-08,1.0,48208.574,0.848,-0.889,21.185
CMA Performance - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1364.876,0.0,-1.114,20.423
Compass Opportunity - Clase A,ARS,2026-04-08,2.0,437236.005,0.339,7.613,34.081
Compass Opportunity - Clase B,ARS,2026-04-08,2.0,516765.602,0.357,8.015,36.003
Compass Opportunity - Clase C,ARS,2026-04-08,2.0,555224.828,0.36,8.098,36.404
Compass Renta Mixta IV - Clase A,ARS,2026-04-08,2.0,1277.911,0.517,8.052,
Compass Renta Mixta IV - Clase B,ARS,2026-04-08,2.0,1262.638,0.497,7.608,
Compass Renta Mixta IV - Clase C,ARS,2026-04-08,2.0,1277.911,0.517,8.052,
Compass Renta Mixta IV - Clase H Ley N° 27.743,ARS,2026-04-08,2.0,1277.911,0.517,8.052,
Compass Renta Mixta IV - Clase I Ley N° 27.743,ARS,2026-04-08,2.0,1277.911,0.517,8.052,
Consultatio Multiestrategia - Clase A,ARS,2026-04-08,3.0,53665.341,0.84,7.568,42.191
Consultatio Multiestrategia - Clase B,ARS,2026-04-08,3.0,60832.871,0.869,8.002,44.34
Consultatio Multiestrategia - Clase C,ARS,2026-04-08,3.0,67501.121,0.91,8.617,46.146
Consultatio Multimercado I - Clase A,ARS,2026-04-08,3.0,1577.881,0.97,11.835,57.022
Consultatio Multimercado I - Clase B,ARS,2026-04-08,3.0,1565.051,0.957,11.654,55.99
Consultatio Multimercado I - Clase C,ARS,2026-04-08,3.0,1564.289,0.956,11.621,55.902
Consultatio Multimercado II - Clase A,ARS,2026-04-08,3.0,272.978,-0.184,-29.544,-69.276
Consultatio Multimercado II - Clase B,ARS,2026-04-08,3.0,272.978,-0.184,-29.544,-69.276
Consultatio Multimercado II - Clase C,ARS,2026-04-08,3.0,272.978,-0.184,-29.544,-69.276
Consultatio Renta Dolares - Clase A,ARS,2026-04-08,2.0,139009.849,1.122,10.865,49.339
Consultatio Renta Dolares - Clase B,ARS,2026-04-08,2.0,151438.595,1.15,11.283,51.445
Consultatio Renta Dolares - Clase C,ARS,2026-04-08,2.0,162638.175,1.168,11.572,52.913
Crecer Renta Plus - Clase A,ARS,2026-04-08,1.0,1294.027,0.625,11.64,
Crecer Renta Plus - Clase B,ARS,2026-04-08,1.0,1307.551,0.646,11.968,
Dracma Renta Ahorro - Clase A,ARS,2026-04-08,1.0,9815.792,0.556,11.569,44.96
Dracma Renta Ahorro - Clase B,ARS,2026-04-08,1.0,9815.796,0.556,11.569,44.96
Dracma Renta Ahorro - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Dracma Renta Ahorro - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
FBA Horizonte,ARS,2026-04-08,1.0,322479.753,0.897,-0.338,26.039
FBA Horizonte - Clase J Ley N° 27.743,ARS,2026-04-08,1.0,322493.153,0.897,-0.338,26.039
FBA Horizonte - Clase K Ley N° 27.743,ARS,2026-04-08,1.0,213660.218,,,
Fima Renta Plus - Clase A,ARS,2026-04-08,1.0,864861.148,0.843,15.384,53.114
Fima Renta Plus - Clase B,ARS,2026-04-08,1.0,975420.002,0.852,15.526,53.815
Fima Renta Plus - Clase C,ARS,2026-04-08,1.0,1029257.237,0.858,15.62,54.284
Fima Renta Plus - Clase E,ARS,2026-04-08,1.0,1065776.792,0.862,15.683,
First Crecimiento - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
First Crecimiento - Clase B,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
First Crecimiento - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
First Crecimiento - Clase D,ARS,2026-04-08,1.0,41454.892,0.462,10.275,54.622
Fundcorp Long Performance - Clase A,ARS,2026-04-08,1.0,65902.48,0.559,12.298,36.039
Fundcorp Long Performance - Clase B,ARS,2026-04-08,1.0,67252.095,0.564,12.372,36.381
Fundcorp Long Performance - Clase C,ARS,2026-04-08,1.0,11770.194,0.595,12.852,38.584
Gainvest Balanceado IV - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Balanceado IV - Clase B,ARS,2026-04-08,1.0,8894.67,-0.849,-5.865,45.929
Gainvest Balanceado IV - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Balanceado VIII - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Balanceado VIII - Clase B,ARS,2026-04-08,1.0,182.023,0.786,9.688,46.395
Gainvest Balanceado VIII - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Capital - Clase A,ARS,2026-04-08,1.0,1175.298,-0.771,-5.501,-83.028
Gainvest Capital - Clase B,ARS,2026-04-08,1.0,1619.009,-0.771,-5.501,-83.028
Gainvest Capital II - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Capital II - Clase B,ARS,2026-04-08,1.0,25111.109,0.0,0.0,-9.733
Gainvest Capital III - Clase A,ARS,2026-04-08,1.0,1007.849,0.0,0.0,0.0
Gainvest Capital III - Clase B,ARS,2026-04-08,1.0,29243.434,0.111,8.753,54.41
Gainvest Estrategia II - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Gainvest Estrategia II - Clase B,ARS,2026-04-08,1.0,2.41,-41.448,-92.996,-99.835
Gainvest Estrategia III - Clase A,ARS,2026-04-08,1.0,23144.132,0.0,0.0,0.0
Gainvest Estrategia III - Clase B,ARS,2026-04-08,1.0,12381.018,-0.049,-0.536,16.401
Gainvest Regional - Clase A,ARS,2026-04-08,1.0,1357677.903,0.694,-93.592,-98.544
Gainvest Regional - Clase B,ARS,2026-04-08,1.0,2.416,0.709,-93.591,-98.54
Gainvest Regional - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Galileo Estrategia - Clase A,ARS,2026-04-08,1.0,58567.315,0.766,12.638,32.521
Galileo Estrategia - Clase B,ARS,2026-04-08,1.0,52975.819,0.775,12.788,33.186
Galileo Multimercado III - Clase A,ARS,2026-04-08,1.0,12884.383,0.426,5.1,41.924
Galileo Multimercado III - Clase B,ARS,2026-04-08,1.0,1102.406,0.435,5.229,
Galileo Premium - Clase A,ARS,2026-04-08,1.0,228047.171,0.445,-1.607,25.289
Galileo Premium - Clase B,ARS,2026-04-08,1.0,239230.437,0.45,-1.542,25.557
Galileo Renta - Clase A,ARS,2026-04-08,1.0,46906.895,0.618,8.944,44.943
Galileo Renta - Clase B,ARS,2026-04-08,1.0,38288.572,0.635,9.195,32.134
GSS Cobertura - Clase A,ARS,2026-04-08,1.0,2620.119,0.0,0.0,0.0
GSS Cobertura - Clase B,ARS,2026-04-08,1.0,59333.885,1.086,0.014,32.478
IAM Estrategia - Clase E,USD,2026-04-08,2.0,1738220.579,1.024,-2.218,9.127
IAM Renta Balanceada - Clase A,ARS,2026-04-08,2.0,12668.053,1.057,0.086,35.546
IAM Renta Balanceada - Clase B,ARS,2026-04-08,2.0,12985.678,1.066,0.204,36.145
IAM Renta Balanceada - Clase C,ARS,2026-04-08,2.0,13334.914,1.08,0.409,37.186
IAM Renta Balanceada - Clase D,ARS,2026-04-08,2.0,1000,0.0,0.0,0.0
IAM Renta Crecimiento - Clase A,ARS,2026-04-08,2.0,132427.962,0.575,9.603,42.495
IAM Renta Crecimiento - Clase B,ARS,2026-04-08,2.0,144943.206,0.583,9.724,43.082
IAM Renta Crecimiento - Clase C,ARS,2026-04-08,2.0,105169.183,0.583,9.724,43.082
IAM Renta Crecimiento - Clase D,ARS,2026-04-08,2.0,1000,0.0,0.0,0.0
Intervalores Ahorro - Clase A,ARS,2026-04-08,1.0,50491.233,0.605,14.232,53.445
Intervalores Ahorro - Clase B,ARS,2026-04-08,1.0,59707.151,0.61,14.309,53.829
Intervalores Ahorro - Clase C,ARS,2026-04-08,1.0,51330.654,0.615,14.385,54.214
Intervalores Ahorro - Clase D,ARS,2026-04-08,1.0,1000,,,
Intervalores Ahorro - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1000,,,
IOL Portafolio Potenciado - Clase A,ARS,2026-04-08,1.0,1395.317,0.715,4.847,
IOL Portafolio Potenciado - Clase B,ARS,2026-04-08,1.0,1395.315,0.715,4.847,
IOL Portafolio Potenciado - Clase C,ARS,2026-04-08,1.0,1018.475,,,
IOL Portafolio Potenciado - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1362.774,,,
Lombard Abierto Plus,ARS,2026-04-08,1.0,138724.601,0.65,14.204,46.516
MAF Ahorro,ARS,2026-04-08,2.0,78917.693,0.514,11.285,48.504
MAF Renta Argentina - Clase U,ARS,2026-04-08,2.0,215771.836,0.962,0.178,36.992
MAF Renta Argentina 2 - Clase A,ARS,2026-04-08,3.0,303407.779,0.967,10.623,41.482
MAF Renta Argentina 2 - Clase B,ARS,2026-04-08,3.0,315148.359,0.968,10.627,41.487
Max Cobertura - Clase A,ARS,2026-04-08,1.0,6491.502,0.744,-2.86,32.344
Max Cobertura - Clase B,ARS,2026-04-08,1.0,6586.162,0.752,-2.743,32.942
Max Cobertura - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Max Cobertura - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Max Cobertura - Clase E Ley N° 27.743,ARS,2026-04-08,1.0,1565.3,0.743,-2.877,34.079
MEGAQM Cobertura - Clase A,ARS,2026-04-08,1.0,382200.065,0.506,-0.041,28.961
MEGAQM Cobertura - Clase B,ARS,2026-04-08,1.0,406446.907,0.521,0.163,29.948
MEGAQM Estrategia 1 - Clase A,ARS,2026-04-08,1.0,79671.151,1.233,3.27,29.324
MEGAQM Estrategia 1 - Clase B,ARS,2026-04-08,1.0,19877.905,0.0,0.0,0.0
MEGAQM Estrategia 10 - Clase B,ARS,2026-04-08,1.0,36863.728,-0.344,-1.866,22.934
MEGAQM Estrategia 9 - Clase A,ARS,2026-04-08,1.0,24.847,-56.249,-91.877,-99.869
MEGAQM Estrategia 9 - Clase B,ARS,2026-04-08,1.0,317.477,-56.247,-91.865,-99.868
MEGAQM Estrategia 9 - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
MEGAQM Estrategia 9 - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
MEGAQM Latam Corporativo - Clase BP,USD,2026-04-08,3.0,1696720.66,1.301,-1.81,14.109
MEGAQM Provincial - Clase A,ARS,2026-04-08,1.0,66749.142,0.927,13.511,40.134
MEGAQM Provincial - Clase B,ARS,2026-04-08,1.0,66763.695,0.949,13.854,41.715
Novus Estrategia - Clase A,ARS,2026-04-08,1.0,13610.256,0.735,13.617,51.19
Novus Estrategia - Clase B,ARS,2026-04-08,1.0,14103.113,0.754,13.923,52.71
Novus Estrategia - Clase C,ARS,2026-04-08,1.0,13610.257,0.735,13.617,51.19
Novus Estrategia - Clase D,ARS,2026-04-08,1.0,9829.551,0.0,0.0,6.023
Novus Estrategia - Clase E,ARS,2026-04-08,1.0,1702.542,0.735,13.617,21.699
Novus Estrategia - Clase F,ARS,2026-04-08,1.0,6594.994,0.754,13.923,56.731
Novus Estrategia - Clase G,ARS,2026-04-08,1.0,2230.902,0.735,13.617,51.189
Novus Estrategia - Clase H,ARS,2026-04-08,1.0,1248,0.0,0.0,0.0
Novus Estrategia - Clase I Ley N° 27.743,ARS,2026-04-08,1.0,1042.316,0.0,0.0,4.232
Novus Valor - Clase A,ARS,2026-04-08,1.0,9295.812,0.852,0.708,38.406
Novus Valor - Clase B,ARS,2026-04-08,1.0,9601.445,0.868,0.924,39.518
Novus Valor - Clase C,ARS,2026-04-08,1.0,9295.878,0.852,0.708,38.406
Novus Valor - Clase D,ARS,2026-04-08,1.0,9638.667,0.868,0.924,39.518
Novus Valor - Clase E,ARS,2026-04-08,1.0,1105.098,0.0,0.0,10.51
Novus Valor - Clase F,ARS,2026-04-08,1.0,3767.316,0.868,2.843,8.016
Novus Valor - Clase G,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Novus Valor - Clase H,ARS,2026-04-08,1.0,3166.869,0.0,0.0,0.0
Numancia Dólares - Clase E,USD,2026-04-08,2.0,260324.997,,,
Numancia Dólares - Clase F,USD,2026-04-08,2.0,184399.129,,,
Numancia Dólares - Clase G,USD,2026-04-08,2.0,260324.997,,,
Numancia Dólares - Clase H,USD,2026-04-08,2.0,260324.997,,,
Numancia Pesos - Clase A,ARS,2026-04-08,2.0,2808.448,0.0,0.0,
Numancia Pesos - Clase B,ARS,2026-04-08,2.0,815.575,0.916,-4.089,
Numancia Pesos - Clase C,ARS,2026-04-08,2.0,1000,0.0,0.0,
Optimum Balanced Strategy - Clase B,ARS,2026-04-08,1.0,4185.572,0.901,-1.047,33.425
Optimum Renta Mixta Flexible - Clase A,ARS,2026-04-08,1.0,1000,,,
Optimum Renta Mixta Flexible - Clase B,ARS,2026-04-08,1.0,66854.445,0.965,1.3,41.84
